t,i,q
-1.5524,-0.8504582,2.8552998
-1.552,-0.8297424,2.8116598
-1.5516,-0.7892009,2.7266954
-1.5512,-0.7911467,2.7335956
-1.5508,-0.7916994,2.7360982
-1.5504,-0.7915901,2.7360624
-1.55,-0.7917164,2.7365027
-1.5496,-0.7918257,2.7362081
-1.5492,-0.7916769,2.7364073
-1.5488,-0.7916441,2.7361887
-1.5484,-0.7918389,2.7366591
-1.548,-0.7917007,2.7365624
-1.5476,-0.7914809,2.7368551
-1.5472,-0.7918351,2.7362471
-1.5468,-0.7665638,2.6503673
-1.5464,-0.7526479,2.6042212
-1.546,-0.7545839,2.6093701
-1.5456,-0.7547346,2.610325
-1.5452,-0.7551825,2.6102232
-1.5448,-0.7555047,2.6105454
-1.5444,-0.755403,2.6111101
-1.544,-0.7555198,2.6108746
-1.5436,-0.7555198,2.6108746
-1.5432,-0.7550135,2.610901
-1.5428,-0.7547346,2.6111101
-1.5424,-0.7547346,2.6108746
-1.542,-0.7536605,2.6000208
-1.5416,-0.7407617,2.4849597
-1.5412,-0.7407069,2.4813618
-1.5408,-0.7421718,2.4842257
-1.5404,-0.7419683,2.4844292
-1.54,-0.7420305,2.484791
-1.5396,-0.7424658,2.4854468
-1.5392,-0.7419363,2.4853338
-1.5388,-0.7424815,2.4859494
-1.5384,-0.7419363,2.485482
-1.538,-0.742153,2.4859343
-1.5376,-0.7422748,2.4855725
-1.5372,-0.7426856,2.4852157
-1.5368,-0.7472935,2.4313562
-1.5364,-0.7511347,2.3522381
-1.536,-0.7534909,2.3587671
-1.5356,-0.7542635,2.3606302
-1.5352,-0.7544595,2.3608614
-1.5348,-0.7544991,2.3604116
-1.5344,-0.754712,2.3605605
-1.534,-0.7543672,2.3609782
-1.5336,-0.7542692,2.3611101
-1.5332,-0.7543785,2.3608344
-1.5328,-0.7540393,2.3608111
-1.5324,-0.754126,2.3607892
-1.532,-0.7547815,2.3577722
-1.5316,-0.7777696,2.2764956
-1.5312,-0.7872188,2.2383644
-1.5308,-0.7897823,2.2433205
-1.5304,-0.7902246,2.2441931
-1.53,-0.790413,2.2440247
-1.5296,-0.790381,2.2435699
-1.5292,-0.7899507,2.2442056
